,spices
0,mustard
1,sumac
2,saffron
3,celery
4,oregano
5,fenugreek
6,garlic chives
7,za'atar
8,cayenne pepper
9,tarragon
10,lemongrass
11,vanilla
12,chicory
13,horseradish
14,borage
15,tabasco
16,caraway
17,pepper
18,star anise
19,green chile
20,galangal
21,salt
22,chili pepper
23,chervil
24,spearmint
25,cardamom
26,anise
27,caper
28,clove
29,jasmine
30,coriander
31,dill
32,fennel
33,shiso
34,dill seed
35,kaffir lime
36,lavender
37,parsley
38,thyme
39,cumin
40,ajwain
41,turmeric
42,savory
43,sage
44,lemon verbena
45,cinnamon
46,cilantro
47,watercress
48,wasabi
49,paprika
50,epazote
51,marjoram
52,allspice
53,ginger
54,peppermint
55,basil
56,safflower
57,curry
58,mace
59,sorrel
60,rosemary
61,nutmeg
62,mint
63,habanero
